model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.9950828752713933,root_mean_squared_error,0.07612109184265137,3.177982807159424,0.00031113624572753906,0.20164251327514648,2,True,12
ExtraTreesMSE,-1.0025580501976312,root_mean_squared_error,0.06932950019836426,0.590139627456665,0.06932950019836426,0.590139627456665,1,True,7
CatBoost,-1.0071718530267193,root_mean_squared_error,0.0014941692352294922,1.3898792266845703,0.0014941692352294922,1.3898792266845703,1,True,6
LightGBMXT,-1.0358171823856785,root_mean_squared_error,0.004986286163330078,0.996321439743042,0.004986286163330078,0.996321439743042,1,True,3
LightGBMLarge,-1.0753896641101892,root_mean_squared_error,0.0016372203826904297,1.0446820259094238,0.0016372203826904297,1.0446820259094238,1,True,11
LightGBM,-1.0949441539149347,root_mean_squared_error,0.023943662643432617,0.9479215145111084,0.023943662643432617,0.9479215145111084,1,True,4
RandomForestMSE,-1.1083733506475115,root_mean_squared_error,0.05852532386779785,0.7068185806274414,0.05852532386779785,0.7068185806274414,1,True,5
NeuralNetFastAI,-1.1352323656615038,root_mean_squared_error,0.020846128463745117,4.918874263763428,0.020846128463745117,4.918874263763428,1,True,8
NeuralNetTorch,-1.1458871027746722,root_mean_squared_error,0.010996341705322266,50.97238063812256,0.010996341705322266,50.97238063812256,1,True,10
XGBoost,-1.2801301298426264,root_mean_squared_error,0.0029838085174560547,0.4771461486816406,0.0029838085174560547,0.4771461486816406,1,True,9
KNeighborsUnif,-1.3040554987858075,root_mean_squared_error,0.01760077476501465,0.1206212043762207,0.01760077476501465,0.1206212043762207,1,True,1
KNeighborsDist,-1.3282868346344483,root_mean_squared_error,0.016216754913330078,0.09680032730102539,0.016216754913330078,0.09680032730102539,1,True,2
