Date,Chlorophyll_a,exceedance probability,return period
2020-06-16,11.27,0.0125,80.0
2019-11-09,10.43,0.025,40.0
2020-01-27,6.71,0.0375,26.666666666666668
2019-08-13,6.48,0.05,20.0
2020-06-01,6.21,0.0625,16.0
2021-08-06,6.2,0.075,13.333333333333334
2021-10-19,5.96,0.0875,11.428571428571429
2019-08-30,5.18,0.1,10.0
2020-03-22,4.97,0.1125,8.88888888888889
2020-09-14,4.89,0.125,8.0
2019-03-02,4.88,0.1375,7.2727272727272725
2021-08-18,4.8,0.15,6.666666666666667
2021-12-08,4.73,0.1625,6.153846153846153
2020-04-16,4.69,0.175,5.714285714285714
2021-11-04,4.65,0.1875,5.333333333333333
2019-01-30,4.62,0.2,5.0
2020-05-05,4.58,0.2125,4.705882352941177
2019-05-01,4.55,0.225,4.444444444444445
2019-06-24,4.45,0.2375,4.2105263157894735
2021-10-05,4.39,0.25,4.0
2020-08-16,4.35,0.2625,3.8095238095238093
2021-10-04,4.32,0.275,3.6363636363636362
2021-12-16,4.25,0.2875,3.4782608695652177
2019-05-25,4.24,0.3,3.3333333333333335
2019-02-15,4.21,0.3125,3.2
2021-09-19,4.14,0.325,3.0769230769230766
2019-04-18,4.11,0.3375,2.962962962962963
2019-01-28,4.09,0.35,2.857142857142857
2019-04-08,4.08,0.3625,2.7586206896551726
2020-03-29,4.03,0.375,2.6666666666666665
2020-10-23,3.98,0.3875,2.5806451612903225
2021-05-07,3.82,0.4,2.5
2020-05-04,3.77,0.4125,2.4242424242424243
2020-02-22,3.7,0.425,2.3529411764705883
2021-11-29,3.63,0.4375,2.2857142857142856
2021-04-24,3.62,0.45,2.2222222222222223
2021-06-29,3.6,0.4625,2.162162162162162
2019-06-05,3.59,0.475,2.1052631578947367
2019-12-21,3.53,0.49375,2.0253164556962022
2021-03-03,3.53,0.49375,2.0253164556962022
2020-07-07,3.39,0.5125,1.9512195121951221
2021-07-24,3.26,0.525,1.9047619047619047
2021-05-21,3.23,0.5375,1.8604651162790697
2020-02-25,3.16,0.55,1.8181818181818181
2019-08-11,3.13,0.5625,1.7777777777777777
2019-10-04,3.09,0.575,1.7391304347826089
2020-12-26,3.06,0.59375,1.6842105263157894
2020-12-29,3.06,0.59375,1.6842105263157894
2021-03-09,3.01,0.6125,1.6326530612244896
2021-06-11,2.92,0.625,1.6
2020-11-10,2.91,0.6375,1.5686274509803924
2019-03-20,2.87,0.65,1.5384615384615383
2021-06-17,2.86,0.6625,1.509433962264151
2020-01-09,2.81,0.675,1.4814814814814814
2019-07-15,2.75,0.6875,1.4545454545454546
2021-04-02,2.6,0.7,1.4285714285714286
2020-11-17,2.56,0.7125,1.4035087719298245
2019-10-10,2.53,0.725,1.3793103448275863
2019-01-11,2.49,0.74375,1.3445378151260503
2019-05-20,2.49,0.74375,1.3445378151260503
2019-10-31,2.47,0.76875,1.3008130081300813
2020-09-27,2.47,0.76875,1.3008130081300813
2021-01-13,2.44,0.7875,1.2698412698412698
2020-10-09,2.41,0.8,1.25
2021-08-29,2.31,0.8125,1.2307692307692308
2021-02-09,2.28,0.83125,1.2030075187969924
2019-11-25,2.28,0.83125,1.2030075187969924
2021-04-16,2.17,0.85,1.1764705882352942
2019-07-16,2.12,0.8625,1.1594202898550725
2021-02-02,1.99,0.875,1.1428571428571428
2020-08-31,1.89,0.8875,1.1267605633802817
2020-07-14,1.78,0.90625,1.103448275862069
2021-12-28,1.78,0.90625,1.103448275862069
2020-02-05,1.7,0.925,1.081081081081081
2020-06-14,1.57,0.9375,1.0666666666666667
2020-12-05,1.52,0.95,1.0526315789473684
2019-09-11,1.42,0.9625,1.0389610389610389
2020-08-01,1.4,0.975,1.0256410256410258
2019-12-15,0.78,0.9875,1.0126582278481011
